Features,Labels,Encoded Labels
release scms application to live   synd,1.0-2.0,Task2
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
mcpd catch up,10.0-23.0,Task7
code gen review and questionnaire ,4.0-7.0,Task5
  scm where original currency is old euro currency  issues to set claim as closed,2.0-3.0,Task3
  super search  loading saved query displays return fields in wrong order,10.0-23.0,Task7
  super search  loading saved query displays return fields in wrong order,10.0-23.0,Task7
  super search  loading saved query displays return fields in wrong order,10.0-23.0,Task7
 live v  opening risk flags sectiontypecode lookup error,0.0-1.0,Task1
add claims dept    on  scms,0.0-1.0,Task1
setup diary event system for claims dept on   ,1.0-2.0,Task2
bordereau back loader on ,0.0-1.0,Task1
  scm mismatch to eurobase on policy reference and   missing event codes,4.0-7.0,Task5
user support scm search brings back incorrect incsettsynd figure,0.0-1.0,Task1
daily server checks ,2.0-3.0,Task3
deal with market communication about missing dti codes,0.0-1.0,Task1
 v test system setup ,3.0-4.0,Task4
extended technical meeting,10.0-23.0,Task7
extended technical meeting,10.0-23.0,Task7
extended technical meeting,10.0-23.0,Task7
extended technical meeting,10.0-23.0,Task7
extended technical meeting,10.0-23.0,Task7
extended technical meeting,10.0-23.0,Task7
 xlsior proportional extracts to use program refs instead of contract refs,0.0-1.0,Task1
user support risk linked usm grid fails to export,0.0-1.0,Task1
synd  has incorrect event split validatioin error,3.0-4.0,Task4
clicking column sort on event searchdetail  linked scm tab results grid causes exception,1.0-2.0,Task2
sip board meetig november ,1.0-2.0,Task2
invoicing  december ,4.0-7.0,Task5
user support diary system issue for   on  scms,0.0-1.0,Task1
bordereau back loader on yesterdays file loaded this morning,0.0-1.0,Task1
syndicate specific report spreportclaimsmovementinperiod,23.0-100.0,Task8
 event search error,0.0-1.0,Task1
 event search error,0.0-1.0,Task1
bordereau back loader on  yesterdays file loaded today,0.0-1.0,Task1
imagine demo,4.0-7.0,Task5
imagine demo,4.0-7.0,Task5
bordereau back loader on ,0.0-1.0,Task1
usm manual entry  bugs reported,0.0-1.0,Task1
scm uwrefs contain lowercase messes up xlsior,0.0-1.0,Task1
release scms application to live  synd,3.0-4.0,Task4
release scms warehouse to live   synd,0.0-1.0,Task1
backup release prepost versions to disk   synd,0.0-1.0,Task1
update licence keys,0.0-1.0,Task1
code generator actions dissapearing when tag wizard fails to open,0.0-1.0,Task1
code gen review and questionnaire ,2.0-3.0,Task3
discuss acord messaging with  ,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
 v release triangles causing an exception,0.0-1.0,Task1
string truncation error when opening certain  claims,0.0-1.0,Task1
 period close net ririsk linking issues,7.0-10.0,Task6
release management for december ,23.0-100.0,Task8
release management for december ,23.0-100.0,Task8
daily management tasks december ,10.0-23.0,Task7
scms support  stat code not all showing in scmusm return fields,0.0-1.0,Task1
daily server health checks ,1.0-2.0,Task2
investigating marketing avenues,10.0-23.0,Task7
investigating marketing avenues,10.0-23.0,Task7
minor admin  management tasks  december,10.0-23.0,Task7
scms support  validation errors  autocorrectforce specified errors,0.0-1.0,Task1
user support usm save error when making correction to uw ref ffyfcfcuax,0.0-1.0,Task1
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
merge scm with any changes   has made,1.0-2.0,Task2
entering manual usm cat return premium with business cat rpm fails on save,7.0-10.0,Task6
entering manual usm cat return premium with business cat rpm fails on save,7.0-10.0,Task6
user support  claim  invalid uw ref error but not possible to work out correction,0.0-1.0,Task1
give manual claimref a default value,0.0-1.0,Task1
scms support  usm manual entry tweaks for user,0.0-1.0,Task1
scms support diary event user query,0.0-1.0,Task1
scm message summary results in past months reporting incorrect suspense items,0.0-1.0,Task1
research into tenders and new business opportunities marketing too,23.0-100.0,Task8
investigate iso accreditation,3.0-4.0,Task4
 claim summary grossnet report showing treaty figures in xl column,4.0-7.0,Task5
 daily movements excel format report showing incorrect advise date,0.0-1.0,Task1
 usm validation failing on user frontend run,0.0-1.0,Task1
 period close aid   with november gross close,0.0-1.0,Task1
 period close split complete errors from past months reported,2.0-3.0,Task3
 period close split complete check errors from past months,0.0-1.0,Task1
 split figures updating support,0.0-1.0,Task1
document management improvement,23.0-100.0,Task8
document management improvement,23.0-100.0,Task8
document management improvement,23.0-100.0,Task8
grants  error in risk super search   data structure related ,10.0-23.0,Task7
grants  error in risk super search   data structure related ,10.0-23.0,Task7
bordereau back loader on ,0.0-1.0,Task1
issues raised by period close,10.0-23.0,Task7
investigate bogus message  failed to load errors,3.0-4.0,Task4
bms enhancements discussion,3.0-4.0,Task4
bms enhancements discussion,3.0-4.0,Task4
sipstaff new object,23.0-100.0,Task8
sipstaff new object,23.0-100.0,Task8
 warehouse build failed,4.0-7.0,Task5
 period close lines attatched to ri differing per movement causing errors,7.0-10.0,Task6
preparingshowing work for  bordereau management,1.0-2.0,Task2
marketing research,10.0-23.0,Task7
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
multi  line usms   linked scm tab fails,0.0-1.0,Task1
 scm validation event check needs to filter ont nonmoved claims,1.0-2.0,Task2
double check live databases for syndicate figure synchronisation,2.0-3.0,Task3
 claim movement reserve adjustement to do in closed month for  ,0.0-1.0,Task1
user suport respond to  s november period close issues,0.0-1.0,Task1
 manual movements on different messages v vs v  deliberate,0.0-1.0,Task1
csv generator adds extra commas each time it is regenerate,2.0-3.0,Task3
bordereau back loader on  last week friday evening file load,0.0-1.0,Task1
  scm need line eventing errors flagged  user requires these old items to be posted,0.0-1.0,Task1
  period close split complete errors  aid user to fix,0.0-1.0,Task1
client support new  scms user setup ,0.0-1.0,Task1
scms v code review and checkin,7.0-10.0,Task6
scms v code review and checkin,7.0-10.0,Task6
refauditfieldstokeep table holding outofdate fieldnames,0.0-1.0,Task1
scms v testing,>100,Task9
wildnet demo preparation and demo,7.0-10.0,Task6
wildnet demo preparation and demo,7.0-10.0,Task6
validate existance of field access lookup in code generator,0.0-1.0,Task1
auto create all necessary folders for code generator run through,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
partner marketing documentation,3.0-4.0,Task4
new movement fails to save when split,0.0-1.0,Task1
validation failing,1.0-2.0,Task2
website updates,23.0-100.0,Task8
daily server health checks ,2.0-3.0,Task3
update licences on hq and hq,3.0-4.0,Task4
update licences on hq and hq,3.0-4.0,Task4
problem with linked combo boxes in grid using the linkedtag,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
create extra marketing material for sip,10.0-23.0,Task7
collect old equipment from  offices,1.0-2.0,Task2
licence updates,0.0-1.0,Task1
code gen evaluation questionnaire,2.0-3.0,Task3
gus demo,4.0-7.0,Task5
gus demo,4.0-7.0,Task5
fac indicator update  ,10.0-23.0,Task7
fac indicator update  ,10.0-23.0,Task7
figures book figures s ,10.0-23.0,Task7
allow list box to be data bound,3.0-4.0,Task4
allow list box to be data bound,3.0-4.0,Task4
extend lookuptag to include specific filters,1.0-2.0,Task2
extend lookuptag to include specific filters,1.0-2.0,Task2
bordereau back loader on ,0.0-1.0,Task1
syndicate figure update running slow during validation,2.0-3.0,Task3
scm search running slow with certain queries on live but not on dev,4.0-7.0,Task5
 scm messages not loaded user query,0.0-1.0,Task1
licence key updates,0.0-1.0,Task1
 user support aid  s scm validation errors corrections,2.0-3.0,Task3
scm message summary search issue,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
grid csv export needs to work for excel and nonexcel csv readers,2.0-3.0,Task3
grid csv export needs to work for excel and nonexcel csv readers,2.0-3.0,Task3
scms user support  claim review notes put in undefined state,0.0-1.0,Task1
elgar search for ,0.0-1.0,Task1
checkin new standard csv export funtionality,0.0-1.0,Task1
 raised minor ri manual entry bugs to be resolved,0.0-1.0,Task1
user support licence key error reported,0.0-1.0,Task1
msg summary linked scm search msg xxx title does not go if researched with dif criteria,3.0-4.0,Task4
allow search fields to be hidden in search control,1.0-2.0,Task2
user support  scm message errors clean up as advised,0.0-1.0,Task1
daily server health checks ,2.0-3.0,Task3
scm validation running slow on dev,4.0-7.0,Task5
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
scm search results click on narrative grid makes it disappear,7.0-10.0,Task6
meeting with ,2.0-3.0,Task3
meeting with ,2.0-3.0,Task3
 figures book gross os totals not  tying back to claim figures in system,7.0-10.0,Task6
 figures book gross os totals not  tying back to claim figures in system,7.0-10.0,Task6
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
 warehouse release with latest speedup done on dev,10.0-23.0,Task7
user support  scms user access issue,0.0-1.0,Task1
user support  user cannot get rid of remaining usm errors,0.0-1.0,Task1
 limited,10.0-23.0,Task7
 limited,10.0-23.0,Task7
 limited,10.0-23.0,Task7
developer questionnaire,1.0-2.0,Task2
bordereau back loader on ,0.0-1.0,Task1
ltdhq server speed issues reported,0.0-1.0,Task1
client support reports query,0.0-1.0,Task1
 it dept in office christmas party with    extended lunchtime,0.0-1.0,Task1
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
bordereau back loader on  todays file,0.0-1.0,Task1
creating  case study for web site,10.0-23.0,Task7
scms support  available on call,3.0-4.0,Task4
bordereau back loader on ,0.0-1.0,Task1
user support  claim not showing events,1.0-2.0,Task2
user support    and  message issues,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
sync local db bug fix updates to dev db,0.0-1.0,Task1
minor admin  management tasks  january,23.0-100.0,Task8
daily server health checks  ,1.0-2.0,Task2
user support aid  syndicate close process,1.0-2.0,Task2
user support aid user add event to claim on ,0.0-1.0,Task1
document issue in task system,4.0-7.0,Task5
document issue in task system,4.0-7.0,Task5
 ri manual check error not all claims flagged by scm validation,1.0-2.0,Task2
 ri manual check error not all claims flagged by scm validation,1.0-2.0,Task2
user support  november figures book not viewable,0.0-1.0,Task1
review web site blurb for loader,0.0-1.0,Task1
investigate effect of as changes in light of presentation sent by  ,4.0-7.0,Task5
make warehouse tolerant of missing origsett rates,0.0-1.0,Task1
ltdhq server down  disk failure reported,2.0-3.0,Task3
ltdhq server down  disk failure reported,2.0-3.0,Task3
  warehouse build failed overnight due to server going down  build,0.0-1.0,Task1
prepare budgetary costs for ,7.0-10.0,Task6
 period close ri quota share errors  fix,2.0-3.0,Task3
warehouse job already running check not working,0.0-1.0,Task1
warehouse job already running check not working,0.0-1.0,Task1
creating time zone code if date is entered in different time zone,3.0-4.0,Task4
entering gus risks,10.0-23.0,Task7
requirements gathering for ldex replacement  emma penfold com,3.0-4.0,Task4
 triangles have figures with no ii groups,3.0-4.0,Task4
 triangles have figures with no ii groups,3.0-4.0,Task4
 incorrect negative os amounts linked to zero  on some syndicate lines,10.0-23.0,Task7
 incorrect negative os amounts linked to zero  on some syndicate lines,10.0-23.0,Task7
changing line event to split and adjusting figures puts event totals incorrect,0.0-1.0,Task1
 manual movemennts correction ,0.0-1.0,Task1
  raised query regarding usm figures on lpso no  datemarch,2.0-3.0,Task3
scm manual movement on manual claim bur u should allow lloyds figure entry,3.0-4.0,Task4
scm manual movement on manual claim bur u should allow lloyds figure entry,3.0-4.0,Task4
on period close report all uwref changes on claims in open month for user review,7.0-10.0,Task6
report creation for sipstaff,7.0-10.0,Task6
score card demo for     ,0.0-1.0,Task1
getting scms up to date for  ,23.0-100.0,Task8
getting scms up to date for  ,23.0-100.0,Task8
project planning for potential gus work,4.0-7.0,Task5
project planning for potential gus work,4.0-7.0,Task5
separating messaging from business rules,23.0-100.0,Task8
separating messaging from business rules,23.0-100.0,Task8
scm search misses lines when validation has failed,0.0-1.0,Task1
prepare laptop for  ,2.0-3.0,Task3
test terminal server deployment,23.0-100.0,Task8
daily server health checks  ,2.0-3.0,Task3
join acord it club investigatejoin acord rejoin cmmg,2.0-3.0,Task3
incorrect column alias in  xlsior export,0.0-1.0,Task1
 split complete errors on old items reported  resolve,1.0-2.0,Task2
scms tasks cleanup to identify outstanding tasks,1.0-2.0,Task2
 warehouse build request over lunch,0.0-1.0,Task1
usmscm figure discrepency,2.0-3.0,Task3
problem with report exporting in v,0.0-1.0,Task1
 meeting to discuss bms,4.0-7.0,Task5
 meeting to discuss bms,4.0-7.0,Task5
 claim  has  risklineid,2.0-3.0,Task3
 claim  has  risklineid,2.0-3.0,Task3
restore  warehousenew over original  warehouse db,0.0-1.0,Task1
  eros meeting,1.0-2.0,Task2
business link london meeting   ,1.0-2.0,Task2
daily management tasks january ,23.0-100.0,Task8
unexpected figures in  xlsior download  correct and investigate extent of problem,7.0-10.0,Task6
adding manual movements fail when syndline  ,0.0-1.0,Task1
 user reported message summary transaction count doesnt match transactions loaded,0.0-1.0,Task1
v  texbox widths not correct for date format,0.0-1.0,Task1
ensure that v line event update does not reintroduce any bugs fixed in ,1.0-2.0,Task2
 support scm event ri figures incorrect,1.0-2.0,Task2
bmsscms risk code table update with latest entries from lloyds,0.0-1.0,Task1
bms support  improving speed of opening of risks with high dec count ,4.0-7.0,Task5
port scorecard to latest coredatabase,4.0-7.0,Task5
embed scorecard in staff object for appraisalsreviews,4.0-7.0,Task5
 s warehouse redesign plan review,1.0-2.0,Task2
plan and implement warehouse update,>100,Task9
 warehouse figure queries investigate,4.0-7.0,Task5
 warehouse figure queries investigate,4.0-7.0,Task5
problems with link system in latest v,4.0-7.0,Task5
  office move th jan   preparartion and packing,7.0-10.0,Task6
  office move th jan   preparartion and packing,7.0-10.0,Task6
  office move th jan   preparartion and packing,7.0-10.0,Task6
londond market messaging meeting dukes place with xchanging,2.0-3.0,Task3
set up score card for staff reviews,1.0-2.0,Task2
machine swap,4.0-7.0,Task5
machine swap,4.0-7.0,Task5
meeting re ldex to xdh conversion,2.0-3.0,Task3
marketing meeting,23.0-100.0,Task8
marketing meeting,23.0-100.0,Task8
 risk super search additional fields required and functionality change,23.0-100.0,Task8
 risk super search additional fields required and functionality change,23.0-100.0,Task8
 risk super search additional fields required and functionality change,23.0-100.0,Task8
sip management meeting,7.0-10.0,Task6
meeting re recent ructions at  ,2.0-3.0,Task3
meeting re recent ructions at  ,2.0-3.0,Task3
demo staff business object,0.0-1.0,Task1
identifying tests for v data structures with emphasis on quarter close processes,3.0-4.0,Task4
unpack at ,2.0-3.0,Task3
unpack at ,2.0-3.0,Task3
zero percent on any line prevents figures update on all lines,1.0-2.0,Task2
apparent crash bug in diary event,0.0-1.0,Task1
synd   scm items which have wrong policy attached them at ,2.0-3.0,Task3
synd   scm items which have wrong policy attached them at ,2.0-3.0,Task3
ltdhq server administration after weekend failure,0.0-1.0,Task1
getting live machine setupconnected to  network,0.0-1.0,Task1
scms message loads and validation runs,4.0-7.0,Task5
scms message loads and validation runs,4.0-7.0,Task5
allow dynamic report selection for scorecard types,1.0-2.0,Task2
add comments textbox for scorecard items,0.0-1.0,Task1
v  problem with textbox label visibility,0.0-1.0,Task1
problems with container control wizard,4.0-7.0,Task5
daily server health checks  ,1.0-2.0,Task2
inform   about bms work,2.0-3.0,Task3
bms skinny dec performance issues,1.0-2.0,Task2
risk  section reinstatement tab  grids need to be fit to width not fixed to res x screens,1.0-2.0,Task2
risk copy version  fails on spriskrenewcopylinestatistics,0.0-1.0,Task1
v  unable to create new business objects from full entry search screens,0.0-1.0,Task1
introduction to v and unit test,1.0-2.0,Task2
introduction to v and unit test,1.0-2.0,Task2
v super search bug,2.0-3.0,Task3
get v task system running on lastest core  database,2.0-3.0,Task3
general v task system bug fixing,0.0-1.0,Task1
bms speedup with declaration stored procedure,1.0-2.0,Task2
sipdecision table rewrite,2.0-3.0,Task3
viewing doc via preview tab then deleting doc and reclicking preview crashes app and reboots pc,4.0-7.0,Task5
bms meeting  preparation,4.0-7.0,Task5
bms meeting  preparation,4.0-7.0,Task5
reading business link london  sip business review,1.0-2.0,Task2
matching period close s reports syndicate   via risk super search,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
weekly developer meeting xxx month year  topic,4.0-7.0,Task5
v task system drive users from staff and affiliate tables,3.0-4.0,Task4
v task system build authorisation subsystem,23.0-100.0,Task8
v task system build authorisation subsystem,23.0-100.0,Task8
sip live hot fix document,0.0-1.0,Task1
auto sync staff object with affiliate based on business role,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
scms client meeting,0.0-1.0,Task1
scms  syndicate   claim ref ,0.0-1.0,Task1
bms meeting with ,1.0-2.0,Task2
bordereau back loader on  latest,0.0-1.0,Task1
scms user group meeting,0.0-1.0,Task1
vars event issue,0.0-1.0,Task1
 triangle  major risk code by ii group  gross incurred figures not correct,7.0-10.0,Task6
 triangle  major risk code by ii group  gross incurred figures not correct,7.0-10.0,Task6
bms support  meetings at ,4.0-7.0,Task5
scmsbms licence key updates,1.0-2.0,Task2
new user setup on ,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
iso   information gathering,23.0-100.0,Task8
iso   information gathering,23.0-100.0,Task8
v convert showbuttonsalways property on gridwrapper to a visbility enum,0.0-1.0,Task1
task system start stop and tidy hours actions,10.0-23.0,Task7
daily message reports  recipient email addresses update to new  domain,0.0-1.0,Task1
some figures incorrectly calculated in front end on total currency and line,0.0-1.0,Task1
dev warehouse  updating sp causing internal sql bug,0.0-1.0,Task1
event total sometimes not calculated when claim first split,1.0-2.0,Task2
updating line twice on same movement breaks unique key,1.0-2.0,Task2
updating line twice on same movement breaks unique key,1.0-2.0,Task2
daily server health checks  ,1.0-2.0,Task2
v  allow multiple search forms per business object,4.0-7.0,Task5
sipdocument  automatic compression spike,7.0-10.0,Task6
sipdocument  obsolete flag,10.0-23.0,Task7
sipdocument  obsolete flag,10.0-23.0,Task7
logging error in synd figure update procedure,0.0-1.0,Task1
bordereau back loader on  lasts night late file load,0.0-1.0,Task1
release management for january ,10.0-23.0,Task7
release management for january ,10.0-23.0,Task7
usm contra items nett amount field access incorectly set for new usm,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
bms support for week of st jan ,4.0-7.0,Task5
v allow auto run and advanced search tab hide via meta data,1.0-2.0,Task2
maxtor  laptop disk cleanupzipup unecessary old files,1.0-2.0,Task2
sipdocument  revision history enhancements,10.0-23.0,Task7
sipdocument  action history,23.0-100.0,Task8
sipdocument  action history,23.0-100.0,Task8
sipdocument  hold compression data,10.0-23.0,Task7
sipdocument  security,3.0-4.0,Task4
sipdocument  security,3.0-4.0,Task4
sipdocument  add statistics,23.0-100.0,Task8
sipdocument  add statistics,23.0-100.0,Task8
sipdocument  add statistics,23.0-100.0,Task8
sipdocument filing control prototype,10.0-23.0,Task7
analysing sip business processes in light of requirements for the iip certification iso ,10.0-23.0,Task7
scm lookup filcode not setup correctly,0.0-1.0,Task1
delete linked risk on ri failing,0.0-1.0,Task1
 scm claim issue on adding manual movement,4.0-7.0,Task5
tracking down form designer bug  errors on opening,4.0-7.0,Task5
weekly developer meeting jan   document filing,3.0-4.0,Task4
weekly developer meeting jan   document filing,3.0-4.0,Task4
weekly developer meeting jan   document filing,3.0-4.0,Task4
weekly developer meeting jan   document filing,3.0-4.0,Task4
making notes on the tickit guide  ,23.0-100.0,Task8
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
marketing meeting,3.0-4.0,Task4
sip management meeting,4.0-7.0,Task5
 xlsior proportional extract  bringing back too many rows,4.0-7.0,Task5
 xlsior proportional extract  bringing back too many rows,4.0-7.0,Task5
bordereau back loader on  yesterdays file load,0.0-1.0,Task1
design work on sip company branding,10.0-23.0,Task7
daily server health checks  ,2.0-3.0,Task3
offsite server backup,1.0-2.0,Task2
datatableselect issue with sipdatafilter,23.0-100.0,Task8
datatableselect issue with sipdatafilter,23.0-100.0,Task8
sipdemo laptop system testing,7.0-10.0,Task6
misc admin tasks,4.0-7.0,Task5
meeting re business situation,0.0-1.0,Task1
sipdocument add  filing category fields plus one for template,23.0-100.0,Task8
bms support for week ,7.0-10.0,Task6
preparing bms  demo,23.0-100.0,Task8
 user support aid  s scm validation errors corrections,0.0-1.0,Task1
daily movement reports  mondays and tuesdays reports send out,0.0-1.0,Task1
bordereau back loader on  mornings urgent file load,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
management meeting,0.0-1.0,Task1
minor admin tasks  january,4.0-7.0,Task5
discussion on bms timescales for  demo,0.0-1.0,Task1
sip management meeting,2.0-3.0,Task3
siptask  additional fields riskstatus,4.0-7.0,Task5
research into extreme programming xp  development modelprocess benefits tickit,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
 syndicate support aid   setup scm super search queries,0.0-1.0,Task1
acord it club ,7.0-10.0,Task6
acord it club ,7.0-10.0,Task6
daily management tasks february ,10.0-23.0,Task7
release management for february ,23.0-100.0,Task8
invoicing  january ,0.0-1.0,Task1
bordereau back loader on  yesterdays file sent late  loaded,0.0-1.0,Task1
qms action database,2.0-3.0,Task3
v  validation error for child control not clearing in code gen,1.0-2.0,Task2
v  control properties not getting saved and returned in code gen,2.0-3.0,Task3
bordereau back loader on ,0.0-1.0,Task1
daily report  if blank message request to state explicitly in report,1.0-2.0,Task2
 syndicate management meeting,0.0-1.0,Task1
bordereau back loader on ,0.0-1.0,Task1
investigate  resolve warehouse failure to buide ,2.0-3.0,Task3
validation warnings for incorrect splits failing to appear,0.0-1.0,Task1
v   test system setup and release ,4.0-7.0,Task5
unexpected period close split complete errors,2.0-3.0,Task3
user support  aid   with scmusm validation errors and setting up scm stat code searches,0.0-1.0,Task1
unexpected period close ri quota share errors,2.0-3.0,Task3
implement test system for warehouse,4.0-7.0,Task5
cross market messaging group cmmg  meetings ,10.0-23.0,Task7
cross market messaging group cmmg  meetings ,10.0-23.0,Task7
comparator can be slow comparing long procedures,1.0-2.0,Task2
steamship account has moved    splits need data updating claim ,23.0-100.0,Task8
steamship account has moved    splits need data updating claim ,23.0-100.0,Task8
steamship account has moved    splits need data updating claim ,23.0-100.0,Task8
bordereau back loader on ,0.0-1.0,Task1
v   test system setup and release,3.0-4.0,Task4
user support  claim not opening,0.0-1.0,Task1
scmscore v sourcesafe checkin and label,0.0-1.0,Task1
v code gen validation of search fields needs to take indirect lookups into account,0.0-1.0,Task1
try to remove syndicate specific aspects of  exoasis,4.0-7.0,Task5
the quality manual,23.0-100.0,Task8
the quality manual,23.0-100.0,Task8
syndicate specific stored procedure for scm validation unexpected new line error  ,2.0-3.0,Task3
aid synd  auditor,1.0-2.0,Task2
user support aid user correct scm uwrefs flagged by period close to not match previous movements uwrefs,0.0-1.0,Task1
v   test release with latest data cut for parallel testing,1.0-2.0,Task2
v   test release with latest data cut for parallel testing,1.0-2.0,Task2
v task release report  update tasks and generate report,0.0-1.0,Task1
 meeting      ,1.0-2.0,Task2
sip management meeting,1.0-2.0,Task2
v child type validation errors not clearing for valid child control types in code gen,1.0-2.0,Task2
v  cachemanager issues when savingloading,1.0-2.0,Task2
 health and safety forms,0.0-1.0,Task1
datawarehouse meeting,3.0-4.0,Task4
datawarehouse meeting,3.0-4.0,Task4
datawarehouse meeting,3.0-4.0,Task4
bordereau back loader on ,0.0-1.0,Task1
 warehouse build for january failed  investigate and force build today,0.0-1.0,Task1
 s split and xlsior difference,2.0-3.0,Task3
v   test release with latest data cut for parallel testing,2.0-3.0,Task3
comparator loses quotedidentifier setting,4.0-7.0,Task5
user support synd  has not loaded recent scm messages,0.0-1.0,Task1
bms support for week ,4.0-7.0,Task5
v   test release with latest data cut for parallel testing,2.0-3.0,Task3
v   test release with latest data cut for parallel testing,2.0-3.0,Task3
v sorting out bugs in link manager,1.0-2.0,Task2
bms demo  updated code releases,0.0-1.0,Task1
bms demo permission setup,0.0-1.0,Task1
request for new document types for riskriusm ,0.0-1.0,Task1
v test system reports and message loadvalidate jobs setup for  and ,0.0-1.0,Task1
user support  validation errors for events  force through as advised,0.0-1.0,Task1
daily server health checks  ,2.0-3.0,Task3
minor admin  management tasks  february,23.0-100.0,Task8
v  validation error tooltips not appearing,0.0-1.0,Task1
add validation for structure template in code gen,0.0-1.0,Task1
updating container wizard to be compatable with latest version,0.0-1.0,Task1
uploading new data for  demo,4.0-7.0,Task5
investigate file encryption utilities,4.0-7.0,Task5
v test system bug fix excel export not in correct format,2.0-3.0,Task3
user support  test not loading messages,0.0-1.0,Task1
v test system  scm claim movements report error,4.0-7.0,Task5
need to be able define linkedtags in combo cells using tag wizard,1.0-2.0,Task2
no tag defined for grid columns not handled properly in code gen,0.0-1.0,Task1
ltdhq server recovery,7.0-10.0,Task6
ltdhq server recovery,7.0-10.0,Task6
asset database bugfixing,2.0-3.0,Task3
 demo,4.0-7.0,Task5
 demo,4.0-7.0,Task5
 demo,4.0-7.0,Task5
releasing the demo systemo to live,4.0-7.0,Task5
warehouse validation,23.0-100.0,Task8
 updates,23.0-100.0,Task8
 updates,23.0-100.0,Task8
bms support for week ,4.0-7.0,Task5
scms v test system bug reported,0.0-1.0,Task1
 scm message failed to load,0.0-1.0,Task1
test system backups of server,0.0-1.0,Task1
 s request to override all diarys,1.0-2.0,Task2
allow creation of sipfiltercomponents object from a filter string,10.0-23.0,Task7
manual usm entry not working on live,1.0-2.0,Task2
manual usm entry not working on live,1.0-2.0,Task2
daily server health checks  ,1.0-2.0,Task2
system back up and defrag of hard disk,1.0-2.0,Task2
v  certain mandatory validation errors not appearing,2.0-3.0,Task3
failure of smtp server reports due to network address change ltdhqltdhq,1.0-2.0,Task2
updating scms with new features from bms,3.0-4.0,Task4
adding multiple email addresses for ccbcc and to to email system,4.0-7.0,Task5
scms support  users accidently marked ri for deletion instead of deleting linked doc,0.0-1.0,Task1
smtp server change for reports failed on hq,1.0-2.0,Task2
server dbs maintenance,0.0-1.0,Task1
hqhq backups to live machine desktop,4.0-7.0,Task5
bug borderaux chase search screen not detecting st row as to be chased,4.0-7.0,Task5
proof read  s project,7.0-10.0,Task6
scm message copy failure on  ,2.0-3.0,Task3
scm message copy failure on  ,2.0-3.0,Task3
bms support for week ,4.0-7.0,Task5
scm split importer  dev to v test systems release,2.0-3.0,Task3
proof read  s dissertation,7.0-10.0,Task6
 facriindicator display on usmlines matched to ricontracts,4.0-7.0,Task5
 facriindicator display on usmlines matched to ricontracts,4.0-7.0,Task5
bug adding and deleting bordereaux schedule causes error,4.0-7.0,Task5
creating new email class from bms work,10.0-23.0,Task7
daily server health checks  ,2.0-3.0,Task3
bms support for week ,7.0-10.0,Task6
bms support for week ,7.0-10.0,Task6
user support manual usm entrycontra usm support,0.0-1.0,Task1
 demo,4.0-7.0,Task5
bms email chaser to include policies with mulitple lines,2.0-3.0,Task3
 usm message load failed,0.0-1.0,Task1
ltdhq sql server restart ,0.0-1.0,Task1
ltdhq report server not working,0.0-1.0,Task1
weekly developer meeting th feb   general catch up,4.0-7.0,Task5
weekly developer meeting th feb   general catch up,4.0-7.0,Task5
weekly developer meeting th feb   general catch up,4.0-7.0,Task5
weekly developer meeting th feb   general catch up,4.0-7.0,Task5
weekly developer meeting th feb   general catch up,4.0-7.0,Task5
demo to ,23.0-100.0,Task8
demo to ,23.0-100.0,Task8
demo to ,23.0-100.0,Task8
add code to cater for multi user email chasing sending,3.0-4.0,Task4
new  logo deployment to all reports,10.0-23.0,Task7
v  validation settings not getting refreshed,4.0-7.0,Task5
v  validation settings not getting refreshed,4.0-7.0,Task5
get task object working on latest version,10.0-23.0,Task7
daily server health checks  ,1.0-2.0,Task2
minor admin  management tasks  march,23.0-100.0,Task8
licences update,0.0-1.0,Task1
ltdhqltdhq servers rebooted over weekend no messages loaded o,0.0-1.0,Task1
bordereau quick entry screen to include table for bordereau premium schedule,10.0-23.0,Task7
v get process forms working in latest version,7.0-10.0,Task6
